Kobs	[L]o	1/Kobs	1/[L]o	m	b	s_m	s_b	n
0.02709540513	0.016	36.90662662	62.5	-0.02709540513	4.617908916	0.001649185076	0.06482442266	7
0.02786520872	0.032	35.88704503	31.25	-0.02786520872	3.973429431	0.006603980035	0.2366115115	6
0.04619396998	0.05	21.64784712	20	-0.04619396998	4.163806883	0.008579079091	0.3234324891	5
0.1514491362	0.2	6.60287688	5	-0.1514491362	4.24124101	0.03006352995	0.3963031387	5
0.09364017498	0.1	10.67917697	10	-0.09364017498	4.11243278	0.02065341023	0.4233898162	5
